Institution Name,City location of institution,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
Washington State University,Pullman,wsu.edu/,1,WA,1,32,2,1,78,5475,0.27847881,0.499356004,0.613294825,0.453899993,0.834161294,0.088565569,0.477146547,172,0.627263571,0.491519398
University of Hawaii at Manoa,Honolulu,www.manoa.hawaii.edu,1,HI,1,11,2,1,78,3600,0.29448772,0.495252217,0.81914588,0.461251136,0.850218446,0.085291194,0.461369868,137,0.715837568,0.474753936
Michigan State University,East Lansing,https://www.msu.edu,1,MI,1,13,2,1,92,8924,0.062404178,0.499980803,0.537535602,0.453582613,0.835345038,0.094218437,0.453828924,208,0.699080491,0.499866805
Ohio State University-Main Campus,Columbus,www.osu.edu/,1,OH,1,11,2,1,94,10478,0.14641935,0.499052436,0.517536963,0.460616692,0.850130023,0.09202671,0.466126114,226,0.821336871,0.499863701
University of Delaware,Newark,www.udel.edu/,1,DE,1,21,2,1,92,4018,0.078728631,0.489249573,0.496320132,0.452484524,0.82596798,0.090265812,0.465399027,233,0.358538668,0.487411526
University of Michigan-Ann Arbor,Ann Arbor,www.umich.edu,1,MI,1,12,2,1,97,7074,0.034561854,0.499967348,0.643627525,0.461807643,0.88603131,0.089538167,0.438707519,257,0.78975974,0.497336894
University of Washington-Seattle Campus,Seattle,www.washington.edu,1,WA,1,11,2,1,94,7772,0.164614174,0.498916037,0.716781268,0.451935922,0.887699364,0.093179604,0.44989942,221,0.645942544,0.497295869
Utah State University,Logan,www.usu.edu,1,UT,1,13,2,1,71,3810,0.334779872,0.497649765,0.36362118,0.454362661,0.848216204,0.113660497,0.466161012,135,0.673409432,0.499696309
Southern Illinois University-Carbondale,Carbondale,www.siu.edu,1,IL,1,13,2,1,68,3171,0.302468056,0.496311429,0.575597654,0.458632019,0.872825988,0.107289182,0.480479053,113,0.68841272,0.494261614
University of Cincinnati-Main Campus,Cincinnati,www.uc.edu,1,OH,1,11,2,1,88,5381,0.255326393,0.500019123,0.502075378,0.456967334,0.830899785,0.08881474,0.476858548,154,0.767696709,0.499963376
University of Connecticut,Storrs,uconn.edu/,1,CT,1,21,2,1,92,5197,0.059622062,0.500006916,0.635381118,0.459870194,0.864911555,0.030127887,0.464516165,235,0.453374871,0.497784124
University of Georgia,Athens,www.uga.edu,1,GA,1,12,2,1,95,6991,0.065785251,0.490407862,0.508327933,0.449019764,0.823087267,0.090282366,0.466766635,223,0.732952059,0.484059866
University of Illinois at Urbana-Champaign,Champaign,www.illinois.edu/,1,IL,1,13,2,1,93,7953,0.039583174,0.492502748,0.705895156,0.454034407,0.879290354,0.08620821,0.478740703,237,0.73230421,0.49035179
University of Oklahoma-Norman Campus,Norman,www.ou.edu,1,OK,1,22,2,1,86,4148,0.2148641,0.499840861,0.629104739,0.455407569,0.816381322,0.115305311,0.478426515,169,0.80818145,0.497875191
Florida State University,Tallahassee,www.fsu.edu,1,FL,1,12,2,1,93,8626,0.113053108,0.494967937,0.565012482,0.449802992,0.832456186,0.029127824,0.468396125,212,0.678013292,0.480347295
Iowa State University,Ames,www.iastate.edu,1,IA,1,13,2,1,87,6059,0.095410749,0.490662183,0.470741916,0.457884705,0.776377588,0.117237009,0.468650939,176,0.792256463,0.497147705
Portland State University,Portland,www.pdx.edu,1,OR,1,11,2,1,71,4138,0.480188947,0.49870585,0.623788016,0.461024127,0.856490853,0.077509508,0.467418582,108,0.901443485,0.478152082
Purdue University-Main Campus,West Lafayette,www.purdue.edu,1,IN,1,13,2,1,92,7072,0.085583477,0.486599245,0.584374669,0.459688861,0.830715932,0.086777971,0.457997913,185,0.665151091,0.474420848
San Jose State University,San Jose,www.sjsu.edu,1,CA,1,11,2,1,86,6011,0.316758105,0.499014459,0.786228625,0.454930922,0.808919894,0.11503555,0.485375662,114,0.705490536,0.500013097
The University of Texas at San Antonio,San Antonio,www.utsa.edu/,1,TX,1,11,2,1,68,4704,0.267590659,0.499884056,0.664908538,0.46372892,0.806916755,0.091537935,0.481675352,74,0.761869857,0.494173635
University of Colorado Boulder,Boulder,www.colorado.edu,1,CO,1,12,2,1,86,5497,0.120577459,0.494380874,0.504554643,0.44056426,0.865390122,0.119822261,0.458749947,186,0.596155537,0.498151165
University of Kansas,Lawrence,www.ku.edu,1,KS,1,13,2,1,80,4158,0.175378294,0.500015763,0.496793238,0.450130128,0.864557148,0.097302219,0.468829463,162,0.603582728,0.497078123
University of Kentucky,Lexington,www.uky.edu,1,KY,1,11,2,1,83,4540,0.135463429,0.498030256,0.437145976,0.452242655,0.85031675,0.090239769,0.477951592,156,0.532329303,0.485867255
University of Massachusetts-Amherst,Amherst,www.umass.edu,1,MA,1,21,2,1,91,5843,0.142327044,0.499846624,0.573584459,0.455081478,0.870349034,0.043133581,0.474141485,207,0.468767676,0.49916511
University of Missouri-Columbia,Columbia,missouri.edu/,1,MO,1,12,2,1,87,6283,0.065362039,0.499332491,0.411255782,0.448218008,0.844031522,0.11636382,0.471190861,188,0.663985463,0.494786937
University of Nevada-Reno,Reno,www.unr.edu/,1,NV,1,12,2,1,81,3372,0.227806443,0.498824067,0.599768838,0.458955018,0.857625381,0.088407678,0.473931415,126,0.76776365,0.4954404
University of New Hampshire-Main Campus,Durham,www.unh.edu,1,NH,1,23,2,1,85,2854,0.056948994,0.497057729,0.372876505,0.451904466,0.848863766,0.08292283,0.484435261,225,0.223510535,0.493563521
University of Oregon,Eugene,www.uoregon.edu,1,OR,1,12,2,1,88,4661,0.147612797,0.498631403,0.602132951,0.44647046,0.837271129,0.115392522,0.453430167,180,0.496022269,0.495638645
University of Vermont,Burlington,www.uvm.edu,1,VT,1,13,2,1,86,2318,0.119616708,0.493670259,0.380178625,0.447738941,0.871980945,0.090727084,0.464852496,217,-0.19036768,0.488835123
University of Virginia-Main Campus,Charlottesville,www.virginia.edu/,1,VA,1,23,2,1,97,3963,0.086920309,0.49358522,0.603890218,0.445193904,0.865727064,0.090926907,0.448822756,273,0.690165963,0.499590379
University of Wisconsin-Madison,Madison,www.wisc.edu,1,WI,1,12,2,1,96,6919,0.096595882,0.499890625,0.475948914,0.456063871,0.869018255,0.089029354,0.453185118,222,0.746339833,0.499962378
Bowling Green State University-Main Campus,Bowling Green,www.bgsu.edu,1,OH,1,31,2,1,78,2939,0.120257189,0.490163355,0.412077138,0.453255207,0.841149086,0.109918364,0.491036853,141,0.435446919,0.477035745
Colorado State University-Fort Collins,Fort Collins,www.colostate.edu,1,CO,1,12,2,1,87,4820,0.103847536,0.499629681,0.469771809,0.455550055,0.846823535,0.115439679,0.466432104,167,0.654307707,0.495898946
Florida International University,Miami,www.fiu.edu,1,FL,1,21,2,1,88,9076,0.401573843,0.493662228,0.570220336,0.453251134,0.817911726,0.087659444,0.478242043,130,0.882407293,0.481848026
Miami University-Oxford,Oxford,www.miamioh.edu,1,OH,1,31,2,1,90,3837,0.038881282,0.49995378,0.412302334,0.44776946,0.79094641,0.119500148,0.474347025,231,0.429771431,0.499918342
Mississippi State University,Mississippi State,www.msstate.edu,1,MS,1,33,2,1,82,3302,0.172332216,0.499834865,0.461734578,0.454784075,0.814751289,0.113056473,0.476325074,156,0.792307627,0.496927254
North Carolina State University at Raleigh,Raleigh,www.ncsu.edu,1,NC,1,11,2,1,93,5664,0.16046616,0.49473494,0.535040572,0.452559025,0.850154283,0.0916227,0.462065689,191,0.8330959,0.498966957
Stony Brook University,Stony Brook,www.stonybrook.edu,1,NY,1,21,2,1,90,3952,0.147560031,0.496313409,0.76732037,0.444174335,0.864430666,0.091385791,0.466440589,179,0.624702123,0.49987726
Temple University,Philadelphia,www.temple.edu,1,PA,1,11,2,1,90,6133,0.207194666,0.499745689,0.66948929,0.455497954,0.815090386,0.08816088,0.489840359,172,0.697526234,0.490639039
Texas Tech University,Lubbock,www.ttu.edu,1,TX,1,12,2,1,83,5203,0.174581803,0.494671514,0.602002332,0.453033807,0.794319766,0.089479832,0.484748401,154,0.810108209,0.499999911
The University of Texas at Austin,Austin,www.utexas.edu,1,TX,1,11,2,1,95,10165,0.081860225,0.499210337,0.718003561,0.452766264,0.88045851,0.091367971,0.443106427,212,0.801730628,0.499965479
University of Idaho,Moscow,www.uidaho.edu,1,ID,1,41,2,1,80,1758,0.21759988,0.499274999,0.451812364,0.454790208,0.858329933,0.089408907,0.465156678,136,0.787696162,0.500059768
University of Iowa,Iowa City,www.uiowa.edu,1,IA,1,13,2,1,85,4796,0.147956853,0.499274048,0.531308209,0.451307352,0.856894665,0.11546234,0.449991129,189,0.466004015,0.497028245
University of Memphis,Memphis,www.memphis.edu,1,TN,1,11,2,1,77,3037,0.371269488,0.482616642,0.616724154,0.461976561,0.816048809,0.086883384,0.481033721,106,0.753388776,0.482951241
University of Nebraska-Lincoln,Lincoln,www.unl.edu/,1,NE,1,11,2,1,83,3657,0.104571441,0.49819759,0.422356576,0.453405852,0.789167438,0.11476415,0.473453492,169,0.863150274,0.498198029
University of New Mexico-Main Campus,Albuquerque,www.unm.edu,1,NM,1,11,2,1,80,3830,0.376162743,0.494193558,0.68117955,0.446075649,0.863112777,0.108597037,0.46847013,115,0.818524389,0.489524149
University of North Carolina at Chapel Hill,Chapel Hill,www.unc.edu,1,NC,1,13,2,1,97,4525,0.07414202,0.486445034,0.592467344,0.453689283,0.884724702,0.091557385,0.443902957,262,0.653708539,0.482941331
University of North Texas,Denton,www.unt.edu,1,TX,1,12,2,1,79,6439,0.259511513,0.499366217,0.721006603,0.45486877,0.827686767,0.111576784,0.48455274,130,0.829885683,0.494707284
