Rank,Institution Name,City location of institution_x,Average Class Size,City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
73,Washington State University,Pullman,44.45,Pullman,wsu.edu/,1,WA,1,32,2,1,78,5475,0.27847881,0.499356004,0.613294825,0.453899993,0.834161294,0.088565569,0.477146547,172,0.627263571,0.491519398
26,Michigan State University,East Lansing,48.8,East Lansing,https://www.msu.edu,1,MI,1,13,2,1,92,8924,0.062404178,0.499980803,0.537535602,0.453582613,0.835345038,0.094218437,0.453828924,208,0.699080491,0.499866805
50,University of Delaware,Newark,40.65,Newark,www.udel.edu/,1,DE,1,21,2,1,92,4018,0.078728631,0.489249573,0.496320132,0.452484524,0.82596798,0.090265812,0.465399027,233,0.358538668,0.487411526
,University of Michigan-Ann Arbor,Ann Arbor,38.875,Ann Arbor,www.umich.edu,1,MI,1,12,2,1,97,7074,0.034561854,0.499967348,0.643627525,0.461807643,0.88603131,0.089538167,0.438707519,257,0.78975974,0.497336894
54,University of Georgia,Athens,34.925,Athens,www.uga.edu,1,GA,1,12,2,1,95,6991,0.065785251,0.490407862,0.508327933,0.449019764,0.823087267,0.090282366,0.466766635,223,0.732952059,0.484059866
55,Florida State University,Tallahassee,41.225,Tallahassee,www.fsu.edu,1,FL,1,12,2,1,93,8626,0.113053108,0.494967937,0.565012482,0.449802992,0.832456186,0.029127824,0.468396125,212,0.678013292,0.480347295
,Iowa State University,Ames,47.575,Ames,www.iastate.edu,1,IA,1,13,2,1,87,6059,0.095410749,0.490662183,0.470741916,0.457884705,0.776377588,0.117237009,0.468650939,176,0.792256463,0.497147705
33,University of Colorado Boulder,Boulder,37.85,Boulder,www.colorado.edu,1,CO,1,12,2,1,86,5497,0.120577459,0.494380874,0.504554643,0.44056426,0.865390122,0.119822261,0.458749947,186,0.596155537,0.498151165
80,University of Kentucky,Lexington,41.75,Lexington,www.uky.edu,1,KY,1,11,2,1,83,4540,0.135463429,0.498030256,0.437145976,0.452242655,0.85031675,0.090239769,0.477951592,156,0.532329303,0.485867255
,University of Missouri-Columbia,Columbia,40.75,Columbia,missouri.edu/,1,MO,1,12,2,1,87,6283,0.065362039,0.499332491,0.411255782,0.448218008,0.844031522,0.11636382,0.471190861,188,0.663985463,0.494786937
58,University of Oregon,Eugene,42.825,Eugene,www.uoregon.edu,1,OR,1,12,2,1,88,4661,0.147612797,0.498631403,0.602132951,0.44647046,0.837271129,0.115392522,0.453430167,180,0.496022269,0.495638645
,University of Virginia-Main Campus,Charlottesville,36.625,Charlottesville,www.virginia.edu/,1,VA,1,23,2,1,97,3963,0.086920309,0.49358522,0.603890218,0.445193904,0.865727064,0.090926907,0.448822756,273,0.690165963,0.499590379
10,University of Wisconsin-Madison,Madison,41.95,Madison,www.wisc.edu,1,WI,1,12,2,1,96,6919,0.096595882,0.499890625,0.475948914,0.456063871,0.869018255,0.089029354,0.453185118,222,0.746339833,0.499962378
,Colorado State University-Fort Collins,Fort Collins,41.85,Fort Collins,www.colostate.edu,1,CO,1,12,2,1,87,4820,0.103847536,0.499629681,0.469771809,0.455550055,0.846823535,0.115439679,0.466432104,167,0.654307707,0.495898946
119,Stony Brook University,Stony Brook,42.125,Stony Brook,www.stonybrook.edu,1,NY,1,21,2,1,90,3952,0.147560031,0.496313409,0.76732037,0.444174335,0.864430666,0.091385791,0.466440589,179,0.624702123,0.49987726
89,Temple University,Philadelphia,34.35,Philadelphia,www.temple.edu,1,PA,1,11,2,1,90,6133,0.207194666,0.499745689,0.66948929,0.455497954,0.815090386,0.08816088,0.489840359,172,0.697526234,0.490639039
11,The University of Texas at Austin,Austin,47.275,Austin,www.utexas.edu,1,TX,1,11,2,1,95,10165,0.081860225,0.499210337,0.718003561,0.452766264,0.88045851,0.091367971,0.443106427,212,0.801730628,0.499965479
53,University of Iowa,Iowa City,35.825,Iowa City,www.uiowa.edu,1,IA,1,13,2,1,85,4796,0.147956853,0.499274048,0.531308209,0.451307352,0.856894665,0.11546234,0.449991129,189,0.466004015,0.497028245
62,University of Nebraska-Lincoln,Lincoln,40.925,Lincoln,www.unl.edu/,1,NE,1,11,2,1,83,3657,0.104571441,0.49819759,0.422356576,0.453405852,0.789167438,0.11476415,0.473453492,169,0.863150274,0.498198029
31,University of North Carolina at Chapel Hill,Chapel Hill,39.425,Chapel Hill,www.unc.edu,1,NC,1,13,2,1,97,4525,0.07414202,0.486445034,0.592467344,0.453689283,0.884724702,0.091557385,0.443902957,262,0.653708539,0.482941331
,University of Pittsburgh-Pittsburgh Campus,Pittsburgh,43,Pittsburgh,www.pitt.edu,1,PA,1,11,2,1,92,4453,0.112575075,0.499883226,0.525736841,0.458318543,0.862374199,0.092247214,0.489459978,225,0.527597684,0.498398619
133,Kansas State University,Manhattan,35.375,Manhattan,www.k-state.edu,1,KS,1,13,2,1,83,3816,0.179372229,0.499136943,0.424326731,0.458311384,0.794184875,0.08816088,0.471477926,149,0.823055685,0.500031665
37,University of Arizona,Tucson,39.425,Tucson,www.arizona.edu,1,AZ,1,11,2,1,80,6915,0.146726415,0.499624893,0.67039595,0.45621719,0.874876577,0.08816088,0.455248527,164,0.557613211,0.499000779
,University of California-Berkeley,Berkeley,35.925,Berkeley,www.berkeley.edu,1,CA,1,12,2,1,96,7457,0.11512041,0.499173677,0.777235334,0.445239553,0.846962541,0.085349342,0.463991672,256,0.759199674,0.500006334
28,University of Florida,Gainesville,38.425,Gainesville,www.ufl.edu/,1,FL,1,12,2,1,96,8215,0.08801569,0.494655917,0.659080532,0.453795025,0.87171628,0.090725928,0.440872362,240,0.763381887,0.490712484
81,University of Illinois at Chicago,Chicago,42.425,Chicago,www.uic.edu,1,IL,1,11,2,1,81,3912,0.185223839,0.500026468,0.76261564,0.454386231,0.8557706,0.079199887,0.48446701,146,0.632565162,0.495934178
