Rank,Institution Name,City location of institution_x,Amenities,Civic,Demographics,Econ,Education,Health,Housing,Infrast.,LivScore,Livability Rank,City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Grand total (C2016_A  First major  Grand total  Bachelor's degree),Full-time retention rate  2015 (EF2015D),AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
26,Michigan State University,East Lansing,48,66,30,52,73,59,49,72,619,71,East Lansing,https://www.msu.edu,1,MI,1,13,2,1,8924,92,0.062404178,0.499980803,0.537535602,0.453582613,0.835345038,0.094218437,0.453828924,208,0.699080491,0.499866805
,University of Michigan-Ann Arbor,Ann Arbor,60,69,39,52,76,75,50,66,674,3,Ann Arbor,www.umich.edu,1,MI,1,12,2,1,7074,97,0.034561854,0.499967348,0.643627525,0.461807643,0.88603131,0.089538167,0.438707519,257,0.78975974,0.497336894
,Iowa State University,Ames,50,68,23,59,80,68,63,55,643,25,Ames,www.iastate.edu,1,IA,1,13,2,1,6059,87,0.095410749,0.490662183,0.470741916,0.457884705,0.776377588,0.117237009,0.468650939,176,0.792256463,0.497147705
104,Portland State University,Portland,53,70,34,57,51,77,53,74,646,23,Portland,www.pdx.edu,1,OR,1,11,2,1,4138,71,0.480188947,0.49870585,0.623788016,0.461024127,0.856490853,0.077509508,0.467418582,108,0.901443485,0.478152082
33,University of Colorado Boulder,Boulder,65,70,26,48,67,61,58,67,636,35,Boulder,www.colorado.edu,1,CO,1,12,2,1,5497,86,0.120577459,0.494380874,0.504554643,0.44056426,0.865390122,0.119822261,0.458749947,186,0.596155537,0.498151165
83,University of Kansas,Lawrence,65,61,38,57,57,64,60,50,620,67,Lawrence,www.ku.edu,1,KS,1,13,2,1,4158,80,0.175378294,0.500015763,0.496793238,0.450130128,0.864557148,0.097302219,0.468829463,162,0.603582728,0.497078123
,University of Missouri-Columbia,Columbia,44,70,71,66,67,56,55,44,649,18,Columbia,missouri.edu/,1,MO,1,12,2,1,6283,87,0.065362039,0.499332491,0.411255782,0.448218008,0.844031522,0.11636382,0.471190861,188,0.663985463,0.494786937
100,University of Vermont,Burlington,57,64,22,53,62,78,70,74,663,11,Burlington,www.uvm.edu,1,VT,1,13,2,1,2318,86,0.119616708,0.493670259,0.380178625,0.447738941,0.871980945,0.090727084,0.464852496,217,-0.19036768,0.488835123
,University of Virginia-Main Campus,Charlottesville,64,68,51,62,51,73,60,59,670,5,Charlottesville,www.virginia.edu/,1,VA,1,23,2,1,3963,97,0.086920309,0.49358522,0.603890218,0.445193904,0.865727064,0.090926907,0.448822756,273,0.690165963,0.499590379
10,University of Wisconsin-Madison,Madison,58,68,41,61,61,82,53,60,668,8,Madison,www.wisc.edu,1,WI,1,12,2,1,6919,96,0.096595882,0.499890625,0.475948914,0.456063871,0.869018255,0.089029354,0.453185118,222,0.746339833,0.499962378
