Institution Name,Grand total men (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total men (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total women (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total men (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total women (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total men (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Psychology  Bachelor's degree),Grand total women (C2016_A  First major  Psychology  Bachelor's degree),Grand total men (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total women (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total men (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total men (C2016_A  First major  History  Bachelor's degree),Grand total women (C2016_A  First major  History  Bachelor's degree),City location of institution,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Applicants men (ADM2015),Applicants women (ADM2015),Admissions men (ADM2015),Admissions women (ADM2015),Percent of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution (SFA1415),Number of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution (SFA1415),Total women (EF2015  All students  Undergraduate total),Total men (EF2015  All students  Undergraduate total),Grand total (EF2015B  Undergraduate  Age under 25 total),Grand total (EF2015B  Undergraduate  Age 25 and over total),American Indian or Alaska Native total (EF2015A  All students total),Asian total (EF2015A  All students total),Black or African American total (EF2015A  All students total),Hispanic total (EF2015A  All students total),Native Hawaiian or Other Pacific Islander total (EF2015A  All students total),White total (EF2015A  All students total),Two or more races total (EF2015A  All students total),Race/ethnicity unknown total (EF2015A  All students total),Nonresident alien total (EF2015A  All students total),8-year Graduation rate - bachelor's degree within 200% of normal time (GR200_15),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_15),4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_15),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),American Indian or Alaska Native total (C2016_A  First major  Grand total  Bachelor's degree),Asian total (C2016_A  First major  Grand total  Bachelor's degree),Black or African American total (C2016_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2016_A  First major  Grand total  Bachelor's degree),Native Hawaiian or Other Pacific Islander total (C2016_A  First major  Grand total  Bachelor's degree),White total (C2016_A  First major  Grand total  Bachelor's degree),Two or more races total (C2016_A  First major  Grand total  Bachelor's degree),Race/ethnicity unknown total (C2016_A  First major  Grand total  Bachelor's degree),Nonresident alien total (C2016_A  First major  Grand total  Bachelor's degree),Early Career($),Mid-Career($),SAT 25th percentile,SAT 75th percentile,ACT 25th percentile,ACT 75th percentile,AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15)
Washington State University,144.0,242.0,84.0,11.0,23.0,26.0,129.0,225.0,32.0,12.0,51.0,37.0,81.0,278.0,256.0,377.0,10.0,39.0,54.0,370.0,590.0,497.0,39.0,27.0,Pullman,wsu.edu/,1,WA,1,32,2,1,26899.0,41531.0,8594.0,11172.0,6658.0,9084.0,82,3552,12681,11789,20379,4091,173,1544,932,3490,104,17850,2001,1438,2154,67.0,65.0,40.0,78,5475,23,282,140,606,20,3588,375,124,317,52400.0,98100.0,1340.0,1700.0,63.0,85.0,0.27847881,0.49935600399999996,0.613294825,0.45389999299999995,0.834161294,0.08856556900000001,0.47714654700000003,172.0
University of Hawaii at Manoa,84.0,98.0,55.0,11.0,72.0,84.0,91.0,171.0,23.0,8.0,35.0,21.0,53.0,160.0,142.0,127.0,42.0,93.0,48.0,228.0,366.0,360.0,26.0,17.0,Honolulu,www.manoa.hawaii.edu,1,HI,1,11,2,1,28613.0,50645.0,2966.0,4688.0,2344.0,3890.0,70,1263,7514,6175,11232,2456,37,6683,239,1713,696,3837,4364,68,1228,61.0,57.0,19.0,78,3600,5,1465,40,314,114,622,910,5,125,48600.0,86100.0,1430.0,1760.0,65.0,84.0,0.29448772,0.49525221700000005,0.81914588,0.461251136,0.850218446,0.085291194,0.46136986799999996,137.0
Michigan State University,489.0,645.0,108.0,23.0,29.0,78.0,419.0,480.0,59.0,46.0,73.0,42.0,97.0,262.0,562.0,439.0,57.0,140.0,59.0,305.0,899.0,723.0,31.0,10.0,East Lansing,https://www.msu.edu,1,MI,1,13,2,1,27290.0,51118.0,17347.0,17953.0,10827.0,12570.0,61,4847,19728,19415,37881,1262,120,2339,3331,2032,46,33209,1279,614,7568,80.0,78.0,50.0,92,8924,15,391,504,295,7,6348,217,91,1056,51800.0,97200.0,1440.0,1840.0,77.0,94.0,0.062404178,0.499980803,0.5375356020000001,0.45358261299999997,0.8353450379999999,0.09421843699999999,0.45382892399999997,208.0
Ohio State University-Main Campus,233.0,376.0,51.0,12.0,85.0,108.0,397.0,506.0,95.0,54.0,99.0,56.0,170.0,397.0,622.0,458.0,94.0,148.0,165.0,754.0,1038.0,741.0,60.0,33.0,Columbus,www.osu.edu/,1,OH,1,11,2,1,25847.0,44039.0,20467.0,19773.0,9623.0,10249.0,85,6010,21653,23636,41687,3602,82,3533,3139,2221,38,39893,1653,1956,6148,84.0,83.0,59.0,94,10478,8,555,531,341,9,7761,311,144,818,51900.0,92400.0,1730.0,2050.0,88.0,104.0,0.14641935,0.499052436,0.517536963,0.46061669200000005,0.850130023,0.09202671,0.466126114,226.0
University of Delaware,20.0,106.0,56.0,13.0,18.0,25.0,84.0,101.0,16.0,22.0,36.0,24.0,38.0,108.0,224.0,182.0,23.0,73.0,65.0,376.0,394.0,358.0,43.0,14.0,Newark,www.udel.edu/,1,DE,1,21,2,1,27198.0,46618.0,10465.0,14416.0,6734.0,9835.0,82,3722,10952,8148,18316,784,21,1082,1276,1538,17,15922,604,329,2063,83.0,82.0,68.0,92,4018,4,161,157,255,4,3159,97,25,156,54300.0,102700.0,1620.0,1940.0,80.0,97.0,0.078728631,0.489249573,0.496320132,0.452484524,0.82596798,0.09026581199999999,0.465399027,233.0
University of Michigan-Ann Arbor,34.0,173.0,428.0,118.0,59.0,121.0,285.0,348.0,132.0,76.0,87.0,38.0,202.0,481.0,478.0,341.0,174.0,256.0,21.0,188.0,321.0,210.0,57.0,43.0,Ann Arbor,www.umich.edu,1,MI,1,12,2,1,28776.0,59784.0,27792.0,24005.0,6694.0,6917.0,55,3559,14014,14298,27814,498,92,4903,1801,2028,17,24517,1343,2669,6281,91.0,90.0,76.0,97,7074,12,877,277,266,3,4280,207,551,601,59300.0,104600.0,1930.0,2230.0,95.0,110.0,0.034561853999999996,0.499967348,0.643627525,0.461807643,0.88603131,0.08953816699999999,0.438707519,257.0
University of Washington-Seattle Campus,160.0,381.0,233.0,123.0,70.0,128.0,412.0,592.0,198.0,123.0,218.0,89.0,116.0,291.0,459.0,620.0,64.0,197.0,88.0,434.0,349.0,354.0,72.0,82.0,Seattle,www.washington.edu,1,WA,1,11,2,1,25948.0,49986.0,17062.0,19778.0,8696.0,10950.0,51,3147,16260,14803,28252,2811,220,8936,1102,3059,163,21046,2566,1331,6985,83.0,81.0,57.0,94,7772,36,1781,193,535,45,3452,489,149,1092,57300.0,108800.0,1650.0,2020.0,85.0,104.0,0.164614174,0.49891603700000003,0.716781268,0.45193592200000005,0.887699364,0.093179604,0.44989942,221.0
Utah State University,22.0,39.0,137.0,10.0,25.0,9.0,84.0,54.0,23.0,13.0,23.0,6.0,48.0,84.0,227.0,200.0,42.0,91.0,42.0,346.0,341.0,137.0,27.0,33.0,Logan,www.usu.edu,1,UT,1,13,2,1,18576.0,31642.0,7870.0,8288.0,7575.0,8045.0,84,3093,13499,11760,19885,5368,502,295,247,1620,98,22675,518,1880,787,59.0,51.0,25.0,71,3810,14,63,34,186,8,3093,63,227,122,49200.0,91800.0,950.0,1210.0,59.0,80.0,0.334779872,0.497649765,0.36362118,0.454362661,0.8482162040000001,0.113660497,0.46616101200000004,135.0
Southern Illinois University-Carbondale,82.0,67.0,70.0,8.0,6.0,15.0,58.0,67.0,5.0,4.0,24.0,15.0,38.0,71.0,113.0,91.0,58.0,66.0,56.0,188.0,147.0,131.0,18.0,7.0,Carbondale,www.siu.edu,1,IL,1,13,2,1,27708.0,41357.0,4750.0,5895.0,3872.0,4730.0,91,2499,5953,7078,10611,2420,37,321,2890,1265,13,10695,482,17,1572,46.0,44.0,23.0,68,3171,14,62,510,219,8,2160,72,24,102,47300.0,85500.0,930.0,1210.0,54.0,75.0,0.30246805600000004,0.49631142899999997,0.575597654,0.458632019,0.872825988,0.107289182,0.480479053,113.0
University of Cincinnati-Main Campus,138.0,215.0,130.0,27.0,13.0,47.0,105.0,183.0,16.0,12.0,51.0,20.0,58.0,191.0,93.0,106.0,149.0,271.0,186.0,870.0,592.0,340.0,18.0,15.0,Cincinnati,www.uc.edu,1,OH,1,11,2,1,27966.0,43300.0,7733.0,7553.0,6673.0,6408.0,81,3680,12488,12521,21252,3757,58,1186,2542,1077,39,24953,805,2114,3268,66.0,63.0,25.0,88,5381,11,167,381,166,11,4095,132,229,189,50700.0,92800.0,1530.0,1910.0,75.0,93.0,0.255326393,0.500019123,0.502075378,0.456967334,0.830899785,0.08881474,0.476858548,154.0
