Rank,Institution Name,City location of institution_x,Amenities,Civic,Demographics,Econ,Education,Health,Housing,Infrast.,LivScore,Livability Rank,Grand total men (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Communication  Journalism  and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Computer and Information Sciences and Support Services  Bachelor's degree),Grand total men (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total women (C2016_A  First major  Foreign Languages  Literatures  and Linguistics  Bachelor's degree),Grand total men (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Biological and Biomedical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total women (C2016_A  First major  Mathematics and Statistics  Bachelor's degree),Grand total men (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Physical Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Psychology  Bachelor's degree),Grand total women (C2016_A  First major  Psychology  Bachelor's degree),Grand total men (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total women (C2016_A  First major  Social Sciences  Bachelor's degree),Grand total men (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total women (C2016_A  First major  Visual and Performing Arts  Bachelor's degree),Grand total men (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total women (C2016_A  First major  Health Professions and Related Programs  Bachelor's degree),Grand total men (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total women (C2016_A  First major  Business  Management  Marketing  and Related Support Services  Bachelor's degree),Grand total men (C2016_A  First major  History  Bachelor's degree),Grand total women (C2016_A  First major  History  Bachelor's degree),City location of institution_y,Institution's internet website address (HD2016),Control of institution (HD2016),State abbreviation (HD2016),Level of institution (HD2016),Degree of urbanization (Urban-centric locale) (HD2016),Institutional category (HD2016),Bachelor's degree (IC2007),Total price for in-state students living on campus 2016-17 (DRVIC2016),Total price for out-of-state students living on campus 2016-16 (DRVIC2016),Applicants men (ADM2015),Applicants women (ADM2015),Admissions men (ADM2015),Admissions women (ADM2015),Percent of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution (SFA1415),Number of full-time first-time undergraduates awarded any loans to students or grant aid  from federal state/local government or the institution (SFA1415),Total women (EF2015  All students  Undergraduate total),Total men (EF2015  All students  Undergraduate total),Grand total (EF2015B  Undergraduate  Age under 25 total),Grand total (EF2015B  Undergraduate  Age 25 and over total),American Indian or Alaska Native total (EF2015A  All students total),Asian total (EF2015A  All students total),Black or African American total (EF2015A  All students total),Hispanic total (EF2015A  All students total),Native Hawaiian or Other Pacific Islander total (EF2015A  All students total),White total (EF2015A  All students total),Two or more races total (EF2015A  All students total),Race/ethnicity unknown total (EF2015A  All students total),Nonresident alien total (EF2015A  All students total),8-year Graduation rate - bachelor's degree within 200% of normal time (GR200_15),6-year Graduation rate - bachelor's degree within 150% of normal time (GR200_15),4-year Graduation rate - bachelor's degree within 100% of normal time (GR200_15),Full-time retention rate  2015 (EF2015D),Grand total (C2016_A  First major  Grand total  Bachelor's degree),American Indian or Alaska Native total (C2016_A  First major  Grand total  Bachelor's degree),Asian total (C2016_A  First major  Grand total  Bachelor's degree),Black or African American total (C2016_A  First major  Grand total  Bachelor's degree),Hispanic or Latino total (C2016_A  First major  Grand total  Bachelor's degree),Native Hawaiian or Other Pacific Islander total (C2016_A  First major  Grand total  Bachelor's degree),White total (C2016_A  First major  Grand total  Bachelor's degree),Two or more races total (C2016_A  First major  Grand total  Bachelor's degree),Race/ethnicity unknown total (C2016_A  First major  Grand total  Bachelor's degree),Nonresident alien total (C2016_A  First major  Grand total  Bachelor's degree),Early Career($),Mid-Career($),SAT 25th percentile,SAT 75th percentile,ACT 25th percentile,ACT 75th percentile,AgeDiversityIndex,GenderDiversityIndex,RaceDiversityIndex,IncomeDiversityIndex,MajorDiversityIndex,SAT_ACT_DiversityIndex,InstateOutstateDiversityIndex,Average Graduation rate - bachelor's degree within 200% of normal time (GR200_15),AdmissionsDiversityIndex,ApplicantsDiversityIndex
26,Michigan State University,East Lansing,48,66,30,52,73,59,49,72,619,71,489,645,108,23,29,78,419,480,59,46,73,42,97,262,562,439,57,140,59,305,899,723,31,10,East Lansing,https://www.msu.edu,1,MI,1,13,2,1,27290,51118,17347,17953,10827,12570,61,4847,19728,19415,37881,1262,120,2339,3331,2032,46,33209,1279,614,7568,80,78,50,92,8924,15,391,504,295,7,6348,217,91,1056,51800,97200,1440,1840,77,94,0.062404178,0.499980803,0.537535602,0.453582613,0.835345038,0.094218437,0.453828924,208,0.699080491,0.499866805
,University of Michigan-Ann Arbor,Ann Arbor,60,69,39,52,76,75,50,66,674,3,34,173,428,118,59,121,285,348,132,76,87,38,202,481,478,341,174,256,21,188,321,210,57,43,Ann Arbor,www.umich.edu,1,MI,1,12,2,1,28776,59784,27792,24005,6694,6917,55,3559,14014,14298,27814,498,92,4903,1801,2028,17,24517,1343,2669,6281,91,90,76,97,7074,12,877,277,266,3,4280,207,551,601,59300,104600,1930,2230,95,110,0.034561854,0.499967348,0.643627525,0.461807643,0.88603131,0.089538167,0.438707519,257,0.78975974,0.497336894
,Iowa State University,Ames,50,68,23,59,80,68,63,55,643,25,85,177,45,6,12,29,137,234,33,31,30,32,49,126,69,57,76,148,20,89,616,511,45,17,Ames,www.iastate.edu,1,IA,1,13,2,1,20000,33364,10309,8855,8894,7808,84,5064,12963,17071,28516,1508,91,993,943,1564,35,25516,700,1831,4041,70,68,38,87,6059,17,141,134,258,5,4752,116,197,439,52700,95800,960,1260,64,84,0.095410749,0.490662183,0.470741916,0.457884705,0.776377588,0.117237009,0.468650939,176,0.792256463,0.497147705
104,Portland State University,Portland,53,70,34,57,51,77,53,74,646,23,56,98,86,10,56,64,80,92,32,13,48,18,84,198,232,325,108,151,93,299,416,337,43,28,Portland,www.pdx.edu,1,OR,1,11,2,1,24087,40602,2490,3809,2062,3335,79,1238,11554,10426,13177,8800,359,2108,901,2925,161,16256,1433,1193,2152,48,42,18,71,4138,62,278,126,448,26,2629,204,183,182,47500,84300,1370,1720,55,75,0.480188947,0.49870585,0.623788016,0.461024127,0.856490853,0.077509508,0.467418582,108,0.901443485,0.478152082
33,University of Colorado Boulder,Boulder,65,70,26,48,67,61,58,67,636,35,202,359,121,19,45,72,332,432,77,38,112,24,121,313,410,287,124,158,2,57,480,292,47,26,Boulder,www.colorado.edu,1,CO,1,12,2,1,29215,52763,16619,14706,12746,12195,59,3434,12130,15012,25393,1749,101,1662,518,3244,21,22804,1365,617,2724,72,70,44,86,5497,15,291,59,497,4,4197,206,71,157,53400,109600,1070,1300,72,90,0.120577459,0.494380874,0.504554643,0.44056426,0.865390122,0.119822261,0.458749947,186,0.596155537,0.498151165
83,University of Kansas,Lawrence,65,61,38,57,57,64,60,50,620,67,122,273,62,12,24,57,110,138,40,12,57,21,57,169,160,77,97,152,113,381,447,230,35,17,Lawrence,www.ku.edu,1,KS,1,13,2,1,25215,41999,6995,8160,6402,7763,82,3266,9666,9579,17376,1869,140,1157,1051,1640,9,19032,1218,502,2510,64,62,36,80,4158,13,168,146,253,4,3201,162,37,174,49500,95200,1248.403846,1527.722756,65,85,0.175378294,0.500015763,0.496793238,0.450130128,0.864557148,0.097302219,0.468829463,162,0.603582728,0.497078123
,University of Missouri-Columbia,Columbia,44,70,71,66,67,56,55,44,649,18,208,524,137,17,28,65,163,169,35,24,64,29,76,195,159,156,42,71,179,721,590,374,44,26,Columbia,missouri.edu/,1,MO,1,12,2,1,25916,42290,9869,12119,7690,9490,81,5186,14410,13381,26851,940,64,779,2542,1213,15,26903,949,452,2507,71,70,47,87,6283,11,137,414,219,4,5067,174,50,207,49100,95700,1060,1300,70,86,0.065362039,0.499332491,0.411255782,0.448218008,0.844031522,0.11636382,0.471190861,188,0.663985463,0.494786937
100,University of Vermont,Burlington,57,64,22,53,62,78,70,74,663,11,15,74,26,4,25,25,99,138,17,19,18,7,34,108,126,107,25,42,33,189,182,79,32,21,Burlington,www.uvm.edu,1,VT,1,13,2,1,31960,55024,10747,14527,7009,10898,94,2143,6106,4867,10272,701,20,401,183,512,4,10022,342,591,740,76,76,65,86,2318,4,45,15,89,1,1953,58,99,54,49500,96800,1640,1940,81,98,0.119616708,0.493670259,0.380178625,0.447738941,0.871980945,0.090727084,0.464852496,217,-0.19036768,0.488835123
,University of Virginia-Main Campus,Charlottesville,64,68,51,62,51,73,60,59,670,5,42.56429652,80.27836611,84,21,35,77,87,146,34,33,88,45,40,166,335,312,22,69,12,150,196,144,75,56,Charlottesville,www.virginia.edu/,1,VA,1,23,2,1,31186,60530,14970,15870,4278,4908,43,1608,9318,7418,15974,762,38,2467,1350,1277,14,14516,929,1272,2020,94,93,86,97,3963,6,469,221,225,0,2475,176,197,194,59500,118400,1870,2180,93,110,0.086920309,0.49358522,0.603890218,0.445193904,0.865727064,0.090926907,0.448822756,273,0.690165963,0.499590379
10,University of Wisconsin-Madison,Madison,58,68,41,61,61,82,53,60,668,8,119,287,174,26,74,155,436,550,92,57,89,49,64,200,475,306,29,108,86,361,471,398,74,55,Madison,www.wisc.edu,1,WI,1,12,2,1,25230,47480,13856,14151,7464,8670,60,3737,15741,15250,29414,1577,101,2243,953,1986,45,30257,1122,475,5534,84,83,55,96,6919,15,373,113,299,8,5321,177,23,590,53400,98400,1780,2100,87,103,0.096595882,0.499890625,0.475948914,0.456063871,0.869018255,0.089029354,0.453185118,222,0.746339833,0.499962378
